Classification,Feature,One-liner Explanation
Special Features,Repatriation of Mortal Remains,Covers transportation of mortal remains.
Special Features,2X Multiplier Benefit,Doubles sum insured on meeting defined conditions.
Special Features,Free Look,Allows policy cancellation within free look period.
Special Features,Limitless Care,Provides enhanced coverage without sub-limits.
Special Features,Daily Cash for Insured Child,Pays daily allowance for accompanying child.
Special Features,Hospital Cash Benefit,Provides fixed cash benefit per hospitalisation day.
Special Features,Road Traffic Accident,Covers accident-related hospitalisation expenses.
Special Features,Recovery Benefit,Provides lump-sum on recovery after hospitalisation.
Special Features,Family Visit,Covers travel expenses for family visit.
Special Features,Extended Policy Tenure,Allows long-term policy tenure options.
Special Features,Enhanced Cumulative Bonus,Provides higher cumulative bonus growth.
Special Features,Room Rent Modification,Allows flexibility in room rent selection.
Special Features,Emergency Medical Evacuation,Covers emergency evacuation expenses.
Special Features,4X Multiplier Benefit,Quadruples sum insured on meeting conditions.
Special Features,HIV/AIDS Cover,Covers HIV/AIDS related treatment after waiting period.
Maternity Coverage,Maternity Benefit,Covers pregnancy and childbirth expenses after waiting period.
Maternity Coverage,New Born Baby,Covers newborn baby from day one if opted.
Maternity Coverage,New Born Vaccinations,Covers vaccination expenses in first year.
Maternity Coverage,M- Iracle,Maternity Benefit
Maternity Coverage,Utero Fetal Surgery,Covers medically necessary fetal surgery.
Maternity Coverage,Assisted Reproduction Treatment,Covers assisted reproductive procedures if opted.
Treatments & Procedures,Cataract Treatment,Covers cataract surgery subject to limits.
Treatments & Procedures,Lump Sum Cancer,Provides lump-sum benefit on cancer diagnosis.
Treatments & Procedures,Cardiac Devices,Covers implantation of cardiac devices.
Treatments & Procedures,Heart Transplantation,Covers expenses related to heart transplant.
Treatments & Procedures,Hearing Aid,Covers hearing aid expenses if specified.
Treatments & Procedures,Lasik Surgery Cover,Covers refractive eye surgery after waiting period.
Treatments & Procedures,Dental & Ophthalmic Treatment,Covers dental and eye treatments subject to limits.
Treatments & Procedures,Vector Borne Disease Benefit,Provides fixed benefit for vector borne diseases.
Treatments & Procedures,Stem Cell Storage,Covers stem cell harvesting and storage if opted.
Value Added ,Health Assessment,Covers periodic health assessment tests.
Value Added ,Health Return,Returns part of premium based on wellness criteria.
Value Added ,Second Opinion for Critical Illness,Provides expert opinion for critical illness diagnosis.
Value Added ,Network Advantage,Provides enhanced benefits at preferred network hospitals.
Value Added ,Wellness Program,Rewards healthy activities through points or benefits.
Value Added ,NRI Advantage,Offers special benefits for Non-Resident Indians.
Value Added ,Chronic Disease Management Program,Provides structured care for chronic illnesses.
Value Added ,NRI Advantage,Offers special benefits for Non-Resident Indians.
Value Added ,Chronic Disease Management Program,Provides structured care for chronic illnesses.
Value Added ,Care Management Program,Provides personalised medical coordination services.
Value Added ,Medi Voucher,Provides health service vouchers.
Value Added ,Money Back,Returns part of premium or sum insured at intervals.
Value Added ,Smart Select,Network zone providers
Value Added ,Dialysis Cover,Covers dialysis treatment expenses.
Value Added ,Home Care,Covers medically supervised treatment at home.
Value Added ,Expert Option,Option to choose
Value Added ,Live Healthy,Value added services
Value Added ,Cash Bag ,Value added services
Value Added ,Discounts from Network Providers,Value added services
Value Added ,Premium Waiver Benefit,Waives future premiums on specified events.
Value Added ,Rise Tiered Network,Differential benefits based on hospital network tier.
Value Added ,Hospice Care,Covers palliative care for terminal illness.
Value Added ,Flexi Pay,Allows flexible premium payment options.
Waiting Periods,Initial waiting period,Covers after 30 days
Waiting Periods,Coverage of Pre-Existing Diseases,Covers pre-existing diseases after 3 year  waiting period.
Waiting Periods,Specific Illness Waiting Period ,Covers specific illness diseases after 2 year waiting period.
Facts to know,Instalment Premium Option,Allows premium payment in instalments.
Facts to know,Migration,Allows shifting to another plan within insurer.
Facts to know,Portability,Allows policy transfer with continuity benefits.
Facts to know,Moratorium Period,No claim denial after 8 continuous years except fraud.
Disease Protection,Jumpstart,Partial coverage for select illnesses from policy inception.
Disease Protection,Waiting Period Reduction,Reduces standard waiting periods for select covers.
Red Flag,Co-Payment,Percentage of claim amount borne by insured.
Red Flag,Mandatory Co-payment,You must pay a fixed percentage of every claim from your own pocket.
Red Flag,Room Rent/Sub-limits,Daily room rent caps can trigger proportionate deductions on your entire hospital bill.
Red Flag,Long Waiting Period for Pre-Existing Diseases,Pre-existing conditions may remain uncovered for 3–4 years.
Red Flag,Specific Disease Waiting Periods,Common treatments like cataract or hernia may be excluded for 1–2 years.
Red Flag,Suspiciously Low Premiums,Exceptionally cheap plans often hide strict exclusions and high out-of-pocket costs.
Core Hospitalisation & Claims,Hassle Free Claims,Simplified and faster claims settlement support.
